VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	CYLINDERS	00	71086	7117	1183	55	1897	256	0	36	81630
PASSENGER	CYLINDERS	02	1344	2239	627	506	443	151	0	159	5469
PASSENGER	CYLINDERS	03	52111	35711	4119	16719	10225	1426	1	337	120649
PASSENGER	CYLINDERS	04	4737227	4562834	809726	2520714	812739	205424	181	80482	13729327
PASSENGER	CYLINDERS	05	48825	60851	10650	27252	16789	2821	5	1746	168939
PASSENGER	CYLINDERS	06	2104183	4053307	539000	2180091	662251	194169	252	74370	9807623
PASSENGER	CYLINDERS	08	317904	2216657	328337	973554	236767	84049	161	18296	4175725
PASSENGER	CYLINDERS	10	11321	19153	2105	4832	3939	557	1	265	42173
PASSENGER	CYLINDERS	12	3578	5416	1189	362	1177	136	2	189	12049
PASSENGER	CYLINDERS	OTHER	100	593	243	72	70	29	7	7	1121
PASSENGER	MOTIVE POWER	B	2	58	6	25	8	2	0	0	101
PASSENGER	MOTIVE POWER	D	107444	107145	17566	64009	19682	4088	23	2893	322850
PASSENGER	MOTIVE POWER	E	45	212	28	14	11	12	0	0	322
PASSENGER	MOTIVE POWER	F	535382	221823	34938	28446	46424	11034	9	3218	881274
PASSENGER	MOTIVE POWER	G	6472909	10590769	1633514	5626110	1669646	471947	574	169320	26634789
PASSENGER	MOTIVE POWER	K	1	50	6	45	3	15	0	0	120
PASSENGER	MOTIVE POWER	L	148221	28715	8675	3413	6667	1409	4	379	197483
PASSENGER	MOTIVE POWER	N	10	121	8	46	4	3	0	2	194
PASSENGER	MOTIVE POWER	P	35	4598	313	1888	245	114	0	14	7207
PASSENGER	MOTIVE POWER	V	83609	10253	2094	97	3594	391	0	58	100096
PASSENGER	MOTIVE POWER	OTHER	21	134	31	64	13	3	0	3	269
PASSENGER	BODY TYPE	CV	126269	99275	20626	13004	33557	2930	29	2573	298263
PASSENGER	BODY TYPE	DB	110	356	161	6	16	8	2	6	665
PASSENGER	BODY TYPE	MH	25197	40740	4660	2451	8708	1184	39	2843	85822
PASSENGER	BODY TYPE	SW	79020	22259	7365	12536	9418	995	1	617	132211
