VEHICLE_CLASS	MAKE	MODEL	MODEL-YEAR	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	ACUR	ARL	2012	9	5	2	0	1	0	0	0	17
PASSENGER	ACUR	ARL	2011	5	3	0	0	0	0	0	0	8
PASSENGER	ACUR	ARL	2010	45	11	4	0	1	2	0	0	63
PASSENGER	ACUR	ARL	2009	30	18	4	1	4	0	0	1	58
PASSENGER	ACUR	ARL	2008	63	26	8	4	7	1	0	1	110
PASSENGER	ACUR	ARL	2007	44	16	9	4	9	0	0	0	82
PASSENGER	ACUR	ARL	2006	55	37	10	6	3	2	0	3	116
PASSENGER	ACUR	ARL	2005	164	152	57	43	26	6	0	3	451
PASSENGER	ACUR	ATL	2014	16	4	1	0	1	0	0	0	22
PASSENGER	ACUR	ATL	2013	133	38	7	2	9	0	0	0	189
PASSENGER	ACUR	ATL	2012	742	198	46	17	61	5	1	4	1074
PASSENGER	ACUR	ATL	2011	202	39	14	5	17	0	0	0	277
PASSENGER	ACUR	ATL	2010	494	119	42	9	26	8	0	6	704
PASSENGER	ACUR	ATL	2009	628	196	66	21	73	5	0	4	993
PASSENGER	ACUR	ATL	2008	1041	400	142	95	159	15	0	25	1877
PASSENGER	ACUR	ATL	2007	632	271	114	78	105	5	0	22	1227
PASSENGER	ACUR	ATL	2005	1049	896	272	297	211	34	3	66	2828
PASSENGER	ACUR	ATL	2004	945	1147	324	420	205	46	1	79	3167
PASSENGER	ACUR	AWT	2014	39	19	0	0	7	1	0	0	66
PASSENGER	ACUR	AWT	2013	54	16	7	1	15	1	0	0	94
PASSENGER	ACUR	AWT	2012	1200	376	80	20	196	22	0	7	1901
PASSENGER	ACUR	AWT	2011	159	56	10	8	27	1	0	3	264
PASSENGER	ACUR	AWT	2010	575	172	67	24	79	5	0	3	925
PASSENGER	ACUR	AWT	2009	568	240	75	15	90	7	0	10	1005
PASSENGER	ACUR	CCS	2011	134	30	12	4	14	0	0	0	194
PASSENGER	ACUR	CCS	2009	619	128	61	35	62	3	0	2	910
PASSENGER	ACUR	CCS	2008	616	208	96	60	100	10	0	14	1104
PASSENGER	ACUR	CCS	2007	278	102	29	40	28	4	0	4	485
PASSENGER	ACUR	CDX	2018	0	1	0	0	0	0	0	0	1
PASSENGER	ACUR	CDX	2017	999	135	14	2	86	5	0	2	1243
PASSENGER	ACUR	CDX	2016	778	123	19	1	61	0	1	2	985
PASSENGER	ACUR	CEP	2005	500	492	138	296	70	27	0	30	1553
PASSENGER	ACUR	CEP	2004	350	446	144	280	80	29	0	29	1358
PASSENGER	ACUR	CEP	2003	321	673	124	463	83	24	0	42	1730
PASSENGER	ACUR	CEP	2002	351	1034	195	715	103	38	0	64	2500
PASSENGER	ACUR	CEP	2001	278	1127	210	785	118	45	0	74	2637
PASSENGER	ACUR	CET	2005	301	293	75	176	45	15	0	14	919
PASSENGER	ACUR	CET	2004	157	201	59	141	22	4	0	7	591
PASSENGER	ACUR	CET	2003	187	342	68	231	45	22	0	14	909
PASSENGER	ACUR	CET	2002	223	560	81	385	83	17	0	27	1376
PASSENGER	ACUR	CET	2001	183	690	140	545	73	33	0	40	1704
PASSENGER	ACUR	CID	2015	79	13	1	1	7	0	0	0	101
PASSENGER	ACUR	CID	2014	135	26	6	4	11	0	0	0	182
PASSENGER	ACUR	CPN	2007	404	147	61	59	45	4	0	4	724
PASSENGER	ACUR	CST	2006	387	218	96	103	65	6	0	8	883
PASSENGER	ACUR	CSX	2006	683	291	121	153	82	15	0	16	1361
PASSENGER	ACUR	CSX	2005	1	0	1	1	1	0	0	0	4
PASSENGER	ACUR	CSX	2004	2	4	1	3	0	0	0	0	10
PASSENGER	ACUR	CSX	2003	29	49	9	26	17	1	0	5	136
PASSENGER	ACUR	CSX	2002	65	237	65	167	57	15	0	28	634
PASSENGER	ACUR	CTP	2011	562	77	44	14	51	3	0	2	753
PASSENGER	ACUR	CTP	2010	683	116	60	29	80	3	0	3	974
PASSENGER	ACUR	CTP	2009	163	28	12	9	11	0	0	4	227
PASSENGER	ACUR	CTP	2008	207	66	31	21	26	3	0	1	355
PASSENGER	ACUR	CTX	2013	236	25	6	2	5	0	0	0	274
PASSENGER	ACUR	CTX	2012	492	87	23	9	45	0	0	2	658
PASSENGER	ACUR	CTX	2011	74	8	2	0	3	1	0	0	88
PASSENGER	ACUR	CTX	2010	207	31	12	5	21	3	0	3	282
PASSENGER	ACUR	C1P	2000	116	750	222	501	82	38	0	41	1750
PASSENGER	ACUR	C1P	1999	60	539	169	430	54	18	1	32	1303
PASSENGER	ACUR	C1P	1998	77	996	206	705	106	51	0	61	2202
PASSENGER	ACUR	IES	2022	91	4	1	0	1	0	0	0	97
PASSENGER	ACUR	IES	2021	89	8	0	0	0	0	0	0	97
PASSENGER	ACUR	IES	2020	237	39	7	0	5	0	0	0	288
PASSENGER	ACUR	IES	2019	296	34	8	0	10	0	0	0	348
PASSENGER	ACUR	IES	2018	85	7	1	1	3	0	0	0	97
PASSENGER	ACUR	IES	2017	228	33	7	1	17	0	0	0	286
PASSENGER	ACUR	IES	2016	292	43	8	3	17	1	0	0	364
PASSENGER	ACUR	IPT	2022	195	4	0	0	2	0	0	0	201
PASSENGER	ACUR	IPT	2021	118	13	0	0	1	0	0	0	132
PASSENGER	ACUR	IPT	2020	377	43	6	0	4	0	0	0	430
PASSENGER	ACUR	IPT	2019	467	69	3	1	11	2	0	1	554
PASSENGER	ACUR	IPT	2018	568	61	10	1	30	1	0	0	671
PASSENGER	ACUR	IPT	2017	1264	222	31	6	91	1	0	0	1615
PASSENGER	ACUR	IPT	2016	1002	145	40	10	53	5	0	3	1258
PASSENGER	ACUR	IWP	2023	368	3	0	0	0	0	0	0	371
PASSENGER	ACUR	IWP	2022	3	0	0	0	0	0	0	0	3
PASSENGER	ACUR	IWP	2021	3	1	0	0	0	0	0	0	4
PASSENGER	ACUR	IWP	2020	11	2	0	0	0	0	0	0	13
PASSENGER	ACUR	IWP	2019	49	4	1	0	0	0	0	0	54
PASSENGER	ACUR	IWP	2018	27	2	0	0	1	0	0	0	30
PASSENGER	ACUR	IWP	2017	63	10	1	0	7	0	0	0	81
PASSENGER	ACUR	IWP	2016	86	16	2	0	11	0	0	0	115
PASSENGER	ACUR	I2P	2015	228	44	11	6	12	1	0	0	302
PASSENGER	ACUR	I2P	2014	480	61	15	8	36	1	0	0	601
PASSENGER	ACUR	I2P	2013	919	139	42	18	90	2	0	3	1213
PASSENGER	ACUR	I2T	2015	163	27	11	1	12	0	0	0	214
PASSENGER	ACUR	I2T	2014	302	36	19	3	14	0	0	4	378
PASSENGER	ACUR	I2T	2013	627	112	36	7	59	3	0	1	845
PASSENGER	ACUR	I20	2015	45	13	5	1	3	0	0	0	67
PASSENGER	ACUR	I20	2014	80	15	7	2	7	0	0	0	111
PASSENGER	ACUR	I20	2013	155	30	13	3	15	2	0	0	218
PASSENGER	ACUR	MDX	2023	1312	9	0	0	0	0	0	1	1322
PASSENGER	ACUR	MDX	2022	2874	246	7	0	9	4	0	0	3140
PASSENGER	ACUR	MDX	2020	1965	261	37	0	36	1	0	3	2303
PASSENGER	ACUR	MDX	2019	2692	353	42	2	85	6	0	0	3180
PASSENGER	ACUR	MDX	2018	1481	183	17	1	77	1	0	3	1763
PASSENGER	ACUR	MDX	2017	2467	392	30	0	241	2	0	0	3132
PASSENGER	ACUR	MDX	2016	2219	366	51	3	169	8	0	3	2819
PASSENGER	ACUR	MDX	2015	1512	236	59	3	94	7	1	1	1913
PASSENGER	ACUR	MDX	2014	2206	487	84	13	144	11	0	3	2948
PASSENGER	ACUR	MDX	2013	1374	349	62	8	75	7	0	4	1879
PASSENGER	ACUR	MDX	2012	1813	410	80	9	136	13	0	2	2463
PASSENGER	ACUR	MDX	2011	1959	496	104	23	163	36	0	4	2785
PASSENGER	ACUR	MDX	2010	1627	519	145	13	133	18	0	6	2461
PASSENGER	ACUR	MDX	2009	2185	662	187	42	205	37	0	5	3323
PASSENGER	ACUR	MDX	2008	2028	990	301	70	263	43	1	29	3725
PASSENGER	ACUR	MDX	2007	1495	924	287	77	198	43	1	28	3053
PASSENGER	ACUR	MDX	2006	943	899	235	239	151	30	1	33	2531
PASSENGER	ACUR	MDX	2005	918	1148	297	289	140	55	2	43	2892
PASSENGER	ACUR	MDX	2004	685	1248	338	342	126	59	1	46	2845
PASSENGER	ACUR	MDX	2003	473	1490	345	419	134	63	2	49	2975
PASSENGER	ACUR	MDX	2002	348	1402	276	420	152	63	2	37	2700
PASSENGER	ACUR	MDX	2001	162	1225	238	344	119	62	1	49	2200
